title,card_img,price,categories,age,company,company_link,address
Підготовка до школи,,270 грн за заняття,"Розвиток дітей - Дошкільна освіта, Підготовка до школи.",Дошкільники.,Логос репетиторський центр,/courses/company/1304/,"вул. Січових Стрільців, 20; пров. Штабний, 4; Запорізьке шосе, 60; просп. Героїв, 11; вул.Калинова, 8; вул. Робоча, 148; вул. Титова, 18-а; вул. Максима Дія, 8; просп. Мануйлівський, 77-а; просп. Слобожанський, 40-а; вул. Паторжинського, 3, м. Дніпро"
"Фінансовий менеджмент, дистанційно",,4 800 грн,"Професійні, підвищення кваліфікації - Менеджмент, управління, Фінанси, страхування.",Дорослі.,Business education solutions,/courses/company/1376/,Онлайн
"Англійська мова, A1-B2",,2 000 грн,Мовні - Англійська мова.,"Середня школа, студенти, дорослі.",Sargoi international community,/courses/company/33666/,Онлайн
"ACCA DipIFR rus, міжнародні стандарти фінансової звітності",,18 500 грн за курс,"Професійні, підвищення кваліфікації - Аудит, стандартизація, ISO, Економіка, бухгалтерія та облік.",Дорослі.,Business education solutions,/courses/company/1427/,Онлайн
Математика для 1 класу,,199 грн на місяць,Науки та підготовка до ЗНО/НМТ - Математика.,Молодша школа.,Learning.ua,/courses/company/32168/,Онлайн
Комп'ютерна графіка та дизайн,,2 514 грн,"Інформаційні технології, IT - Графічний дизайн.","Студенти, дорослі.","ШАГ, комп'ютерна академія",/courses/company/29399/,"вул. Перемоги, 29, м. Житомир"
Англійська мова,,160 грн,Мовні - Англійська мова.,"Молодша школа, середня школа, студенти, дорослі.","Next School, школа іноземних мов",/courses/company/32074/,"просп. Академіка Глушкова, 13-б, оф. 216, поверх 2, м. Київ"
"Комп'ютерні технології, онлайн та офлайн",,80 грн,"Інформаційні технології, IT - Комп'ютерна грамотність.","Середня школа, студенти, дорослі.",Кадри ділового світу. Многопрофільний навчальний центр,/courses/company/1370/,Онлайн
"Живопис, від реалізму до абстракції",,480 грн на місяць,"Мистецтво, творчість - Художня школа, образотворче мистецтво.","Молодша школа, середня школа, студенти, дорослі, пенсіонери.","Happy Art, студія творчого розвитку та арт-терапії",/courses/company/6979/,Онлайн
Мала комп'ютерна академія,,2 946 грн,"Інформаційні технології, IT - Комп'ютерна грамотність, Програмування, розробка, Робототехніка.","Молодша школа, середня школа.",Комп'ютерна академія IT Step,/courses/company/30282/,"вул. Льва Толстого, 33, м. Ужгород"
Як відкрити ресторан,,7 000 грн,"Професійні, підвищення кваліфікації - Готельно-ресторанний бізнес, туризм, HoReCa, Менеджмент, управління.","Студенти, дорослі.","Yes Chef, школа ресторанного бізнесу",/courses/company/8570/,"вул. Базарна, 70, м. Одеса, 65012"
Португальська мова,,4 815 грн за курс (12 занять),Мовні - Португальська мова.,"Дошкільники, молодша школа, середня школа, студенти, дорослі, пенсіонери.","Ideal International, центр іноземних мов",/courses/company/6345/,"вул. Кирилівська, 1-3, м. Київ"
Польська мова,,45 грн,Мовні - Польська мова; Науки та підготовка до ЗНО/НМТ - Мова.,"Дошкільники, молодша школа, середня школа, студенти, дорослі, пенсіонери.","Ноосфера, освітня система",/courses/company/7806/,"вул. Коцюбинського, 61, м. Чернігів"
Web-розробка,,2 999 грн на місяць,"Інформаційні технології, IT - Front end, верстка, Програмування, розробка.","Студенти, дорослі.","Polygon Center, комп'ютерні курси",/courses/company/31988/,Онлайн
Косметік-естетист,,15 500 грн,"Індустрія краси - Краса, здоров'я.","Студенти, дорослі.","Cosmolab, курси косметології",/courses/company/31623/,"вул. Академіка Булаховського, 26, м. Киев"
N/A,/upload/logos/courses_companies/00033441_1.jpg,,,,,,
Косметік-естетист,,15 500 грн,"Індустрія краси - Краса, здоров'я.","Студенти, дорослі.","Cosmolab, курси косметології",/courses/company/31623/,"вул. Академіка Булаховського, 26, м. Киев"
Безкоштовне тесування НМТ з математики,,безкоштовно,Науки та підготовка до ЗНО/НМТ - Математика.,Середня школа.,"Легкоматика, онлайн-школа",/courses/company/34120/,Онлайн
Англійська мова,,1 380 грн,Мовні - Англійська мова; Науки та підготовка до ЗНО/НМТ - Мова.,"Дошкільники, молодша школа, середня школа, студенти, дорослі.","Language Lab, ком'юніті іноземних мов",/courses/company/28896/,"вул. Паньківська, 12, оф. 9, м. Київ"
Польська мова,,160 грн,Мовні - Польська мова.,"Молодша школа, середня школа, студенти, дорослі, пенсіонери.",Inozemna mowa,/courses/company/3434/,Онлайн
Робототехніка для дітей від 8 років,,1 500 грн на місяць (Онлайн 1600 грн),"Інформаційні технології, IT - Комп'ютерна грамотність, Програмування, розробка, Робототехніка.",Середня школа.,"Robocode, культова школа робототехніки і програмування",/courses/company/32829/,"вул. Шолом-Алейхема, 13-а, м. Коростень"
Бухгалтерія для ФОП,,3 850 грн за курс,"Професійні, підвищення кваліфікації - Економіка, бухгалтерія та облік, Фінанси, страхування.","Студенти, дорослі.",Академія професійного бухгалтера,/courses/company/29145/,Онлайн
Малювання для дорослих,,,"Студенти, дорослі.",,N/A,,
Контекстна реклама Ads,,3 000 грн,"Професійні, підвищення кваліфікації - Digital marketing, SMM, SEO.","Студенти, дорослі.",ІТ Академія від stfalcon.com,/courses/company/29652/,Онлайн
"Логопед, корекція мови",,180 грн,"Розвиток дітей - Логопед, вихователь, няня, дитячий психолог.","Дошкільники, молодша школа, середня школа, студенти, дорослі, пенсіонери.","Жірафффенок, центр корекції мовлення",/courses/company/7462/,"вул. Високовольтна, 10, оф. 16, м. Дніпропетровськ"
